ShelterBreed,AKCBreed,IntakeCount,Grooming,Shedding,Energy,Trainability,Demeanor,GroomingLabel,SheddingLabel,EnergyLabel,TrainabilityLabel,DemeanorLabel,Temperament
Pit Bull,American Staffordshire Terrier,13885,0.2,0.4,0.6,0.6,0.6,Occasional Bath/Brush,Occasional,Regular Exercise,Agreeable,Alert/Responsive,"Confident, Smart, Good-Natured"
Labrador Retriever,Labrador Retriever,12884,0.4,0.8,1.0,1.0,1.0,Weekly Brushing,Regularly,Needs Lots of Activity,Eager to Please,Outgoing,"Friendly, Active, Outgoing"
Chihuahua,Chihuahua,10439,0.2,0.4,0.6,0.4,0.6,Occasional Bath/Brush,Occasional,Regular Exercise,Independent,Alert/Responsive,"Charming, Graceful, Sassy"
German Shepherd,German Shepherd Dog,6711,0.4,0.8,0.6,1.0,0.6,Weekly Brushing,Regularly,Regular Exercise,Eager to Please,Alert/Responsive,"Confident, Courageous, Smart"
Australian Cattle Dog,Australian Cattle Dog,2973,0.2,0.8,1.0,0.2,0.4,Occasional Bath/Brush,Regularly,Needs Lots of Activity,May be Stubborn,Reserved with Strangers,"Alert, Curious, Pleasant"
Dachshund,Dachshund,2458,0.4,0.4,0.6,0.6,0.6,Weekly Brushing,Occasional,Regular Exercise,Agreeable,Alert/Responsive,"Friendly, Curious, Spunky"
Siberian Husky,Siberian Husky,2035,0.4,0.6,0.8,0.4,0.8,Weekly Brushing,Seasonal,Energetic,Independent,Friendly,"Loyal, Mischievous, Outgoing"
Boxer,Boxer,1804,0.4,0.4,0.8,0.8,1.0,Weekly Brushing,Occasional,Energetic,Easy Training,Outgoing,"Bright, Fun-Loving, Active"
Border Collie,Border Collie,1699,0.6,0.6,1.0,1.0,0.4,2-3 Times a Week Brushing,Seasonal,Needs Lots of Activity,Eager to Please,Reserved with Strangers,"Affectionate, Smart, Energetic"
Great Pyrenees,Great Pyrenees,1511,0.4,0.6,1.0,0.4,0.4,Weekly Brushing,Seasonal,Needs Lots of Activity,Independent,Reserved with Strangers,"Smart, Patient, Calm"
Australian Shepherd,Australian Shepherd,1203,0.4,0.6,0.8,1.0,0.6,Weekly Brushing,Seasonal,Energetic,Eager to Please,Alert/Responsive,"Smart, Work-Oriented, Exuberant"
Beagle,Beagle,1171,0.6,0.6,0.8,0.6,0.8,2-3 Times a Week Brushing,Seasonal,Energetic,Agreeable,Friendly,"Friendly, Curious, Merry"
Yorkshire Terrier,Yorkshire Terrier,1129,1.0,0.2,0.6,0.2,0.8,Specialty/Professional,Infrequent,Regular Exercise,May be Stubborn,Friendly,"Affectionate, Sprightly, Tomboyish"
Miniature Schnauzer,Miniature Schnauzer,1022,1.0,0.2,0.6,1.0,0.6,Specialty/Professional,Infrequent,Regular Exercise,Eager to Please,Alert/Responsive,"Friendly, Smart, Obedient"
Pointer,Pointer,999,0.4,0.4,0.8,0.6,0.6,Weekly Brushing,Occasional,Energetic,Agreeable,Alert/Responsive,"Loyal, Hardworking, Even-Tempered"
Rat Terrier,Rat Terrier,996,0.4,0.6,0.6,0.8,0.8,Weekly Brushing,Seasonal,Regular Exercise,Easy Training,Friendly,"Friendly, Inquisitive, Lovable"
Jack Russell Terrier,Russell Terrier,986,0.4,0.4,1.0,0.6,0.8,Weekly Brushing,Occasional,Needs Lots of Activity,Agreeable,Friendly,"Alert, Inquisitive, Lively"
Staffordshire,American Staffordshire Terrier,985,0.2,0.4,0.6,0.6,0.6,Occasional Bath/Brush,Occasional,Regular Exercise,Agreeable,Alert/Responsive,"Confident, Smart, Good-Natured"
Rottweiler,Rottweiler,953,0.4,0.6,0.6,0.6,0.4,Weekly Brushing,Seasonal,Regular Exercise,Agreeable,Reserved with Strangers,"Loyal, Loving, Confident Guardian"
Cairn Terrier,Cairn Terrier,913,0.4,0.4,0.6,0.6,0.8,Weekly Brushing,Occasional,Regular Exercise,Agreeable,Friendly,"Alert, Cheerful, Busy"
